Index,orderid,Customer Name,shipmode,sales,quantity,discount,profit,segment,region,state,subcategory,category,orderdate_day,orderdate_weekday,orderdate_month,orderdate_year,shipdate_day,shipdate_month,shipdate_year,preparationtime
535,536,Brad Thomas,Standard Class,585.552,3,0.2,73.194,Consumer,West,Washington,Chairs                                            ,Furniture,8,Samstag,6,2013,14,6,2013,6
536,537,Brad Thomas,Same Day,122.352,3,0.2,13.7646,Home Office,West,California,Chairs                                            ,Furniture,10,Donnerstag,10,2013,10,10,2013,0
537,538,Denise Monton,Standard Class,40.784,1,0.2,4.5882,Home Office,West,California,Chairs                                            ,Furniture,25,Montag,8,2014,30,8,2014,5
538,539,Denise Monton,Second Class,71.372,2,0.3,-1.0196,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,16,Samstag,7,2016,18,7,2016,2
539,540,Lynn Smith,Standard Class,122.352,3,0.2,13.7646,Consumer,West,California,Chairs                                            ,Furniture,10,Mittwoch,6,2015,15,6,2015,5
540,541,Karl Brown,Second Class,81.568,2,0.2,9.1764,Corporate,West,California,Chairs                                            ,Furniture,16,Freitag,12,2016,21,12,2016,5
541,542,Karl Brown,Standard Class,203.92,5,0.2,22.941,Consumer,West,California,Chairs                                            ,Furniture,9,Sonntag,2,2014,16,2,2014,7
542,543,Karl Brown,Second Class,122.352,3,0.2,13.7646,Corporate,West,California,Chairs                                            ,Furniture,3,Donnerstag,10,2013,8,10,2013,5
543,544,Tony Sayre,Standard Class,163.764,2,0.1,25.4744,Corporate,East,New York,Chairs                                            ,Furniture,20,Mittwoch,7,2016,25,7,2016,5
544,545,Tony Sayre,Standard Class,436.704,6,0.2,21.8352,Corporate,West,Washington,Chairs                                            ,Furniture,7,Donnerstag,3,2013,12,3,2013,5
545,546,Evan Henry,Standard Class,98.392,1,0.2,-11.0691,Corporate,South,North Carolina,Chairs                                            ,Furniture,21,Montag,9,2015,26,9,2015,5
546,547,Evan Henry,First Class,196.784,2,0.2,-22.1382,Corporate,West,Washington,Chairs                                            ,Furniture,15,Sonntag,3,2015,17,3,2015,2
547,548,Mike Vittorini,Standard Class,1106.91,9,0.0,121.7601,Corporate,Central,Michigan,Chairs                                            ,Furniture,29,Samstag,11,2014,4,12,2014,5
548,549,Marc Harrigan,Second Class,258.279,3,0.3,-70.1043,Consumer,Central,Illinois,Chairs                                            ,Furniture,3,Donnerstag,10,2013,8,10,2013,5
549,550,Erin Smith,Standard Class,221.382,2,0.1,2.4598,Corporate,East,New York,Chairs                                            ,Furniture,5,Mittwoch,10,2016,9,10,2016,4
550,551,Alan Dominguez,Second Class,245.98,2,0.0,27.0578,Corporate,East,New Jersey,Chairs                                            ,Furniture,13,Sonntag,10,2013,18,10,2013,5
551,552,Alan Dominguez,Standard Class,368.97,3,0.0,40.5867,Corporate,Central,Wisconsin,Chairs                                            ,Furniture,25,Freitag,3,2016,31,3,2016,6
552,553,Ken Black,Standard Class,344.372,4,0.3,-93.4724,Home Office,East,Pennsylvania,Chairs                                            ,Furniture,20,Donnerstag,11,2014,24,11,2014,4
553,554,Aaron Smayling,Standard Class,393.568,4,0.2,-44.2764,Consumer,West,California,Chairs                                            ,Furniture,29,Donnerstag,12,2016,2,1,2017,4
554,555,Christine Kargatis,Standard Class,172.186,2,0.3,-46.7362,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,7,Sonntag,7,2013,11,7,2013,4
555,556,Deirdre Greer,Standard Class,344.372,4,0.3,-93.4724,Corporate,Central,Texas,Chairs                                            ,Furniture,19,Sonntag,4,2015,24,4,2015,5
556,557,Deirdre Greer,Standard Class,196.784,2,0.2,-22.1382,Consumer,South,North Carolina,Chairs                                            ,Furniture,26,Freitag,2,2016,1,3,2016,4
557,558,Deirdre Greer,Second Class,602.651,7,0.3,-163.5767,Consumer,Central,Illinois,Chairs                                            ,Furniture,24,Samstag,5,2014,26,5,2014,2
558,559,Deirdre Greer,Standard Class,885.528,9,0.2,-99.6219,Corporate,West,California,Chairs                                            ,Furniture,19,Samstag,9,2015,23,9,2015,4
559,560,Jonathan Doherty,First Class,72.784,1,0.2,0.0,Consumer,West,California,Chairs                                            ,Furniture,29,Donnerstag,9,2016,2,10,2016,3
560,561,Jonathan Doherty,Standard Class,63.686,1,0.3,-9.098,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,11,Sonntag,12,2016,17,12,2016,6
561,562,Lynn Smith,Second Class,145.568,2,0.2,0.0,Consumer,West,California,Chairs                                            ,Furniture,26,Donnerstag,9,2013,1,10,2013,5
562,563,Tanja Norvell,Standard Class,363.92,5,0.2,0.0,Consumer,South,North Carolina,Chairs                                            ,Furniture,22,Mittwoch,7,2015,27,7,2015,5
563,564,Tanja Norvell,Standard Class,218.352,3,0.2,0.0,Consumer,West,California,Chairs                                            ,Furniture,15,Donnerstag,9,2016,19,9,2016,4
564,565,Thomas Thornton,Standard Class,573.174,7,0.1,63.686,Consumer,East,New York,Chairs                                            ,Furniture,22,Samstag,8,2015,26,8,2015,4
565,566,John Stevenson,First Class,542.646,3,0.1,102.4998,Consumer,East,New York,Chairs                                            ,Furniture,4,Freitag,12,2015,7,12,2015,3
566,567,John Stevenson,Standard Class,281.372,2,0.3,-12.0588,Home Office,East,Ohio,Chairs                                            ,Furniture,23,Dienstag,4,2013,27,4,2013,4
567,568,John Stevenson,Same Day,1125.488,7,0.2,98.4802,Consumer,South,Florida,Chairs                                            ,Furniture,31,Sonntag,3,2013,31,3,2013,0
568,569,Stephanie Phelps,Second Class,321.568,2,0.2,28.1372,Consumer,West,California,Chairs                                            ,Furniture,11,Freitag,12,2015,16,12,2015,5
569,570,Stephanie Phelps,Standard Class,321.568,2,0.2,28.1372,Corporate,West,California,Chairs                                            ,Furniture,14,Montag,11,2016,19,11,2016,5
570,571,Stephanie Phelps,First Class,643.136,4,0.2,56.2744,Corporate,South,Tennessee,Chairs                                            ,Furniture,18,Mittwoch,6,2014,20,6,2014,2
571,572,Paul Knutson,Standard Class,422.058,3,0.3,-18.0882,Corporate,East,Pennsylvania,Chairs                                            ,Furniture,26,Freitag,6,2015,30,6,2015,4
572,573,Muhammed Lee,Standard Class,844.116,6,0.3,-36.1764,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,3,Samstag,5,2014,7,5,2014,4
573,574,Christopher Martinez,Standard Class,281.372,2,0.3,-12.0588,Home Office,East,Ohio,Chairs                                            ,Furniture,23,Dienstag,4,2013,27,4,2013,4
574,575,Christopher Martinez,Standard Class,361.764,2,0.1,68.3332,Consumer,East,New York,Chairs                                            ,Furniture,4,Donnerstag,12,2014,10,12,2014,6
575,576,Christopher Martinez,Second Class,844.116,6,0.3,-36.1764,Home Office,Central,Illinois,Chairs                                            ,Furniture,30,Montag,3,2015,3,4,2015,4
576,577,Dorothy Wardle,Standard Class,71.992,1,0.2,-0.8999,Consumer,West,California,Chairs                                            ,Furniture,30,Sonntag,10,2016,5,11,2016,6
577,578,Bobby Elias,Same Day,215.976,3,0.2,-2.6997,Home Office,West,Washington,Chairs                                            ,Furniture,2,Freitag,9,2016,2,9,2016,0
578,579,Keith Herrera,First Class,215.976,3,0.2,-2.6997,Corporate,West,California,Chairs                                            ,Furniture,9,Mittwoch,11,2016,11,11,2016,2
579,580,Keith Herrera,Second Class,215.976,3,0.2,-2.6997,Consumer,West,Washington,Chairs                                            ,Furniture,3,Donnerstag,9,2015,6,9,2015,3
580,581,Christina DeMoss,Standard Class,269.97,3,0.0,51.2943,Consumer,Central,Minnesota,Chairs                                            ,Furniture,25,Sonntag,9,2016,29,9,2016,4
581,582,Christina DeMoss,Second Class,287.968,4,0.2,-3.5996,Consumer,West,California,Chairs                                            ,Furniture,8,Mittwoch,7,2015,10,7,2015,2
582,583,Bobby Odegard,Standard Class,89.99,1,0.0,17.0981,Consumer,Central,Indiana,Chairs                                            ,Furniture,18,Freitag,4,2014,22,4,2014,4
583,584,Sheri Gordon,Standard Class,80.991,1,0.1,8.0991,Consumer,East,New York,Chairs                                            ,Furniture,20,Dienstag,9,2016,26,9,2016,6
584,585,Sheri Gordon,Standard Class,332.94,3,0.0,79.9056,Consumer,South,Virginia,Chairs                                            ,Furniture,26,Donnerstag,6,2014,30,6,2014,4
585,586,Jas O'Carroll,Standard Class,310.744,4,0.3,-26.6352,Consumer,Central,Texas,Chairs                                            ,Furniture,2,Samstag,1,2016,6,1,2016,4
586,587,Jack Lebron,Standard Class,266.352,3,0.2,13.3176,Corporate,West,Arizona,Chairs                                            ,Furniture,26,Samstag,7,2014,31,7,2014,5
587,588,Jack Lebron,Standard Class,155.372,2,0.3,-13.3176,Consumer,East,Ohio,Chairs                                            ,Furniture,25,Freitag,9,2015,2,10,2015,7
588,589,Bill Tyler,Standard Class,599.292,6,0.1,93.2232,Consumer,East,New York,Chairs                                            ,Furniture,4,Sonntag,10,2015,9,10,2015,5
589,590,Bill Tyler,Same Day,177.568,2,0.2,8.8784,Consumer,West,Washington,Chairs                                            ,Furniture,11,Sonntag,9,2016,11,9,2016,0
590,591,Christine Sundaresam,First Class,589.41,5,0.1,-6.549,Consumer,East,New York,Chairs                                            ,Furniture,4,Freitag,10,2013,6,10,2013,2
591,592,Christine Sundaresam,Standard Class,523.92,5,0.2,-72.039,Corporate,South,Florida,Chairs                                            ,Furniture,12,Mittwoch,11,2014,19,11,2014,7
592,593,Bruce Stewart,Standard Class,366.744,4,0.3,-110.0232,Consumer,Central,Texas,Chairs                                            ,Furniture,3,Sonntag,5,2015,7,5,2015,4
593,594,Shahid Shariari,First Class,589.41,5,0.1,-6.549,Home Office,East,New York,Chairs                                            ,Furniture,14,Mittwoch,9,2016,16,9,2016,2
594,595,Harold Dahlen,Standard Class,366.744,4,0.3,-110.0232,Home Office,Central,Illinois,Chairs                                            ,Furniture,30,Sonntag,3,2014,3,4,2014,4
595,596,Harold Dahlen,First Class,261.96,2,0.0,23.5764,Corporate,East,Maryland,Chairs                                            ,Furniture,14,Samstag,5,2016,17,5,2016,3
596,597,Harold Dahlen,Second Class,104.784,1,0.2,-14.4078,Corporate,West,Oregon,Chairs                                            ,Furniture,5,Donnerstag,11,2015,7,11,2015,2
597,598,Joe Elijah,Standard Class,419.136,4,0.2,-57.6312,Home Office,South,Florida,Chairs                                            ,Furniture,26,Montag,9,2016,30,9,2016,4
598,599,Bill Eplett,Same Day,458.43,5,0.3,-137.529,Corporate,East,Ohio,Chairs                                            ,Furniture,12,Samstag,12,2015,12,12,2015,0
599,600,Ed Braxton,Standard Class,674.352,3,0.2,-109.5822,Consumer,West,Nevada,Chairs                                            ,Furniture,26,Freitag,7,2013,2,8,2013,7
600,601,Ed Braxton,Same Day,1348.704,6,0.2,-219.1644,Corporate,West,California,Chairs                                            ,Furniture,16,Mittwoch,7,2014,16,7,2014,0
601,602,Ed Braxton,First Class,899.136,4,0.2,-146.1096,Corporate,West,Arizona,Chairs                                            ,Furniture,10,Donnerstag,11,2016,11,11,2016,1
602,603,Ed Braxton,First Class,1123.92,5,0.2,-182.637,Corporate,South,Florida,Chairs                                            ,Furniture,11,Mittwoch,6,2014,12,6,2014,1
603,604,Denise Leinenbach,First Class,786.744,4,0.3,-258.5016,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,31,Montag,8,2015,2,9,2015,2
604,605,Allen Golden,Standard Class,449.568,2,0.2,-73.0548,Home Office,West,Washington,Chairs                                            ,Furniture,6,Sonntag,11,2016,13,11,2016,7
605,606,Aaron Bergman,Standard Class,854.94,3,0.0,213.735,Corporate,East,New Jersey,Chairs                                            ,Furniture,11,Donnerstag,7,2013,15,7,2013,4
606,607,Anthony Garverick,Standard Class,683.952,3,0.2,42.747,Home Office,South,Florida,Chairs                                            ,Furniture,21,Freitag,10,2016,26,10,2016,5
607,608,Anthony Garverick,Standard Class,797.944,4,0.3,-56.996,Corporate,Central,Texas,Chairs                                            ,Furniture,15,Samstag,6,2013,21,6,2013,6
608,609,Alyssa Tate,Standard Class,797.944,4,0.3,-56.996,Consumer,Central,Illinois,Chairs                                            ,Furniture,11,Montag,11,2013,15,11,2013,4
609,610,Patrick Ryan,Same Day,1424.9,5,0.0,356.225,Consumer,Central,Indiana,Chairs                                            ,Furniture,11,Freitag,12,2015,11,12,2015,0
610,611,Sandra Flanagan,Standard Class,1139.92,4,0.0,284.98,Home Office,South,Virginia,Chairs                                            ,Furniture,14,Donnerstag,3,2013,19,3,2013,5
611,612,Sandra Flanagan,Standard Class,1282.41,5,0.1,213.735,Corporate,East,New York,Chairs                                            ,Furniture,2,Freitag,9,2016,6,9,2016,4
612,613,Art Miller,Standard Class,398.972,2,0.3,-28.498,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,1,Donnerstag,12,2016,5,12,2016,4
613,614,Bruce Money,Standard Class,598.458,3,0.3,-42.747,Corporate,East,Ohio,Chairs                                            ,Furniture,21,Donnerstag,8,2014,25,8,2014,4
614,615,Tamara Willingham,Second Class,207.846,3,0.1,2.3094,Corporate,East,New York,Chairs                                            ,Furniture,21,Donnerstag,1,2016,24,1,2016,3
615,616,Tamara Willingham,Second Class,107.772,2,0.3,-29.2524,Consumer,Central,Texas,Chairs                                            ,Furniture,21,Dienstag,5,2013,23,5,2013,2
616,617,Liz Price,First Class,207.846,3,0.1,2.3094,Corporate,East,New York,Chairs                                            ,Furniture,24,Donnerstag,3,2016,27,3,2016,3
617,618,Lela Donovan,Standard Class,61.584,1,0.2,-6.9282,Home Office,West,Washington,Chairs                                            ,Furniture,5,Sonntag,1,2014,10,1,2014,5
618,619,Lela Donovan,Standard Class,184.752,3,0.2,-20.7846,Consumer,West,California,Chairs                                            ,Furniture,15,Donnerstag,9,2016,21,9,2016,6
619,620,Lela Donovan,Second Class,184.752,3,0.2,-20.7846,Corporate,West,California,Chairs                                            ,Furniture,1,Samstag,3,2014,3,3,2014,2
620,621,Lela Donovan,Standard Class,107.772,2,0.3,-29.2524,Consumer,Central,Texas,Chairs                                            ,Furniture,23,Sonntag,3,2014,29,3,2014,6
621,622,Mike Vittorini,Standard Class,184.752,3,0.2,-20.7846,Corporate,West,Washington,Chairs                                            ,Furniture,24,Donnerstag,9,2015,28,9,2015,4
622,623,Pauline Chand,Standard Class,307.92,5,0.2,-34.641,Consumer,West,Arizona,Chairs                                            ,Furniture,19,Montag,10,2015,23,10,2015,4
623,624,Dan Campbell,Standard Class,215.544,4,0.3,-58.5048,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,8,Donnerstag,12,2016,15,12,2016,7
624,625,Erin Creighton,Standard Class,146.352,3,0.2,-5.4882,Corporate,West,California,Chairs                                            ,Furniture,27,Sonntag,12,2015,1,1,2016,5
625,626,Kelly Andreada,Standard Class,128.058,3,0.3,-23.7822,Corporate,East,Pennsylvania,Chairs                                            ,Furniture,8,Sonntag,5,2016,12,5,2016,4
626,627,Sandra Flanagan,Second Class,164.646,3,0.1,12.8058,Consumer,East,New York,Chairs                                            ,Furniture,5,Freitag,12,2014,9,12,2014,4
627,628,Victoria Pisteka,Standard Class,128.058,3,0.3,-23.7822,Consumer,Central,Illinois,Chairs                                            ,Furniture,25,Freitag,4,2014,29,4,2014,4
628,629,Victoria Pisteka,Second Class,384.174,7,0.1,29.8802,Consumer,East,New York,Chairs                                            ,Furniture,4,Donnerstag,12,2014,9,12,2014,5
629,630,Victoria Pisteka,First Class,213.43,5,0.3,-39.637,Corporate,Central,Texas,Chairs                                            ,Furniture,8,Donnerstag,9,2016,11,9,2016,3
630,631,Eugene Moren,Second Class,121.96,2,0.0,20.7332,Consumer,East,New Jersey,Chairs                                            ,Furniture,29,Montag,6,2015,1,7,2015,2
631,632,Erica Bern,Standard Class,109.764,2,0.1,8.5372,Consumer,East,New York,Chairs                                            ,Furniture,2,Sonntag,11,2014,7,11,2014,5
632,633,Scott Cohen,Standard Class,102.592,1,0.2,10.2592,Consumer,South,North Carolina,Chairs                                            ,Furniture,15,Donnerstag,10,2015,21,10,2015,6
633,634,Scott Cohen,Same Day,89.768,1,0.3,-2.5648,Home Office,Central,Illinois,Chairs                                            ,Furniture,13,Sonntag,3,2016,13,3,2016,0
634,635,Tanja Norvell,Standard Class,512.96,4,0.0,143.6288,Corporate,East,New Jersey,Chairs                                            ,Furniture,15,Donnerstag,9,2016,19,9,2016,4
635,636,Erica Bern,Standard Class,866.646,3,0.1,173.3292,Corporate,East,New York,Chairs                                            ,Furniture,26,Samstag,12,2015,31,12,2015,5
636,637,Michael Paige,Standard Class,641.96,2,0.0,179.7488,Consumer,South,Virginia,Chairs                                            ,Furniture,20,Mittwoch,5,2015,25,5,2015,5
637,638,Scott Williamson,Second Class,1925.88,6,0.0,539.2464,Corporate,Central,Indiana,Chairs                                            ,Furniture,1,Mittwoch,6,2016,3,6,2016,2
638,639,Sandra Flanagan,Same Day,577.764,2,0.1,115.5528,Corporate,East,New York,Chairs                                            ,Furniture,8,Samstag,11,2014,8,11,2014,0
639,640,Yoseph Carroll,Standard Class,449.372,2,0.3,-12.8392,Consumer,East,Ohio,Chairs                                            ,Furniture,13,Freitag,11,2015,17,11,2015,4
640,641,Vivian Mathis,Second Class,770.352,3,0.2,77.0352,Corporate,West,California,Chairs                                            ,Furniture,13,Freitag,3,2015,16,3,2015,3
641,642,Ryan Crowe,Second Class,674.058,3,0.3,-19.2588,Corporate,Central,Texas,Chairs                                            ,Furniture,1,Sonntag,12,2013,3,12,2013,2
642,643,Pauline Chand,Second Class,785.88,6,0.0,212.1876,Corporate,East,Massachusetts,Chairs                                            ,Furniture,9,Montag,9,2013,12,9,2013,3
643,644,Pauline Chand,First Class,183.372,2,0.3,-7.8588,Consumer,East,Ohio,Chairs                                            ,Furniture,15,Dienstag,10,2013,17,10,2013,2
644,645,Gary Zandusky,First Class,191.058,3,0.3,-46.3998,Consumer,Central,Texas,Chairs                                            ,Furniture,19,Samstag,11,2016,21,11,2016,2
645,646,Roy Skaria,Second Class,445.802,7,0.3,-108.2662,Corporate,East,Pennsylvania,Chairs                                            ,Furniture,15,Sonntag,12,2013,17,12,2013,2
646,647,Roy Skaria,Standard Class,291.136,4,0.2,-25.4744,Home Office,West,Washington,Chairs                                            ,Furniture,13,Montag,6,2016,19,6,2016,6
647,648,Roy Skaria,Standard Class,318.43,5,0.3,-77.333,Corporate,Central,Texas,Chairs                                            ,Furniture,21,Samstag,11,2015,28,11,2015,7
648,649,Dennis Bolton,Standard Class,382.116,6,0.3,-92.7996,Consumer,Central,Illinois,Chairs                                            ,Furniture,2,Mittwoch,7,2014,6,7,2014,4
649,650,Carlos Meador,Standard Class,218.352,3,0.2,-19.1058,Consumer,West,California,Chairs                                            ,Furniture,17,Sonntag,4,2016,22,4,2016,5
650,651,Thea Hendricks,Same Day,63.686,1,0.3,-15.4666,Home Office,East,Ohio,Chairs                                            ,Furniture,29,Donnerstag,9,2016,29,9,2016,0
651,652,Maxwell Schwartz,Second Class,218.352,3,0.2,-19.1058,Corporate,South,Florida,Chairs                                            ,Furniture,1,Freitag,4,2016,4,4,2016,3
652,653,Odella Nelson,Standard Class,127.372,2,0.3,-30.9332,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,6,Sonntag,11,2016,11,11,2016,5
653,654,Odella Nelson,Second Class,318.43,5,0.3,-77.333,Home Office,Central,Texas,Chairs                                            ,Furniture,17,Samstag,9,2016,22,9,2016,5
654,655,Steven Ward,Second Class,545.88,6,0.0,70.9644,Corporate,South,Alabama,Chairs                                            ,Furniture,18,Freitag,10,2013,20,10,2013,2
655,656,Jim Radford,Standard Class,436.704,6,0.2,-38.2116,Corporate,West,California,Chairs                                            ,Furniture,13,Mittwoch,4,2016,17,4,2016,4
656,657,Shahid Shariari,Same Day,363.92,5,0.2,-31.843,Consumer,West,California,Chairs                                            ,Furniture,12,Samstag,12,2015,12,12,2015,0
657,658,Shahid Shariari,Standard Class,245.646,3,0.1,8.1882,Corporate,East,New York,Chairs                                            ,Furniture,12,Donnerstag,11,2015,17,11,2015,5
658,659,Clytie Kelty,Standard Class,127.554,3,0.3,-9.111,Consumer,East,Ohio,Chairs                                            ,Furniture,22,Sonntag,11,2015,27,11,2015,5
659,660,Clytie Kelty,Second Class,97.184,2,0.2,6.074,Corporate,West,California,Chairs                                            ,Furniture,16,Freitag,12,2016,21,12,2016,5
660,661,Clytie Kelty,Standard Class,60.74,1,0.0,15.185,Home Office,East,Massachusetts,Chairs                                            ,Furniture,1,Montag,9,2014,8,9,2014,7
661,662,Carlos Meador,Standard Class,340.144,7,0.2,21.259,Consumer,West,California,Chairs                                            ,Furniture,5,Montag,8,2013,9,8,2013,4
662,663,Carlos Meador,Standard Class,97.184,2,0.2,6.074,Consumer,South,Florida,Chairs                                            ,Furniture,4,Sonntag,9,2016,8,9,2016,4
663,664,Carlos Meador,Standard Class,255.108,6,0.3,-18.222,Home Office,Central,Texas,Chairs                                            ,Furniture,19,Donnerstag,11,2015,23,11,2015,4
664,665,Carlos Meador,Standard Class,327.996,6,0.1,54.666,Consumer,East,New York,Chairs                                            ,Furniture,1,Mittwoch,4,2015,7,4,2015,6
665,666,Alan Dominguez,Second Class,170.072,4,0.3,-12.148,Consumer,Central,Illinois,Chairs                                            ,Furniture,13,Samstag,9,2014,17,9,2014,4
666,667,Christina Anderson,Standard Class,182.22,3,0.0,45.555,Consumer,East,New Jersey,Chairs                                            ,Furniture,4,Sonntag,12,2016,10,12,2016,6
667,668,Rick Wilson,Same Day,546.66,9,0.0,136.665,Consumer,Central,Michigan,Chairs                                            ,Furniture,17,Mittwoch,12,2014,17,12,2014,0
668,669,Annie Cyprus,Standard Class,182.94,3,0.0,27.441,Corporate,Central,South Dakota,Chairs                                            ,Furniture,20,Mittwoch,7,2016,25,7,2016,5
669,670,Annie Cyprus,First Class,97.568,2,0.2,-6.098,Consumer,West,Washington,Chairs                                            ,Furniture,30,Sonntag,10,2016,2,11,2016,3
670,671,Annie Cyprus,Standard Class,390.272,8,0.2,-24.392,Corporate,South,Florida,Chairs                                            ,Furniture,29,Freitag,5,2015,4,6,2015,6
671,672,Annie Cyprus,Standard Class,195.136,4,0.2,-12.196,Consumer,West,California,Chairs                                            ,Furniture,15,Donnerstag,8,2013,19,8,2013,4
672,673,Adrian Hane,First Class,341.488,8,0.3,-73.176,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,11,Freitag,7,2014,13,7,2014,2
673,674,Bradley Drucker,Standard Class,146.352,3,0.2,-9.147,Corporate,West,California,Chairs                                            ,Furniture,31,Donnerstag,10,2013,4,11,2013,4
674,675,Michelle Tran,Standard Class,97.568,2,0.2,-6.098,Corporate,West,California,Chairs                                            ,Furniture,14,Mittwoch,5,2014,19,5,2014,5
675,676,Roy Collins,Standard Class,195.136,4,0.2,-12.196,Consumer,West,Oregon,Chairs                                            ,Furniture,22,Sonntag,11,2015,27,11,2015,5
676,677,David Kendrick,Second Class,243.92,5,0.2,-15.245,Consumer,West,California,Chairs                                            ,Furniture,9,Freitag,9,2016,14,9,2016,5
677,678,Lynn Smith,Same Day,302.94,3,0.0,48.4704,Consumer,Central,Michigan,Chairs                                            ,Furniture,17,Mittwoch,12,2014,17,12,2014,0
678,679,Anthony O'Donnell,Standard Class,504.9,5,0.0,80.784,Consumer,South,Virginia,Chairs                                            ,Furniture,17,Samstag,12,2016,21,12,2016,4
679,680,Gary Zandusky,First Class,161.568,2,0.2,-8.0784,Consumer,West,California,Chairs                                            ,Furniture,21,Sonntag,6,2015,22,6,2015,1
680,681,Gary Zandusky,Standard Class,272.646,3,0.1,18.1764,Consumer,East,New York,Chairs                                            ,Furniture,20,Dienstag,9,2016,26,9,2016,6
681,682,Ben Wallace,Standard Class,113.568,2,0.2,-18.4548,Consumer,West,California,Chairs                                            ,Furniture,8,Donnerstag,12,2016,12,12,2016,4
682,683,Christy Brittain,Standard Class,283.92,5,0.2,-46.137,Consumer,West,California,Chairs                                            ,Furniture,20,Sonntag,11,2016,25,11,2016,5
683,684,Neil Knudson,First Class,454.272,8,0.2,-73.8192,Home Office,West,California,Chairs                                            ,Furniture,24,Freitag,10,2014,27,10,2014,3
684,685,Liz Willingham,Standard Class,70.98,1,0.0,4.9686,Consumer,South,Kentucky,Chairs                                            ,Furniture,3,Donnerstag,7,2014,9,7,2014,6
685,686,Liz Willingham,First Class,319.41,5,0.1,7.098,Consumer,East,New York,Chairs                                            ,Furniture,18,Donnerstag,6,2015,19,6,2015,1
686,687,Lindsay Williams,Standard Class,170.352,3,0.2,-17.0352,Consumer,West,California,Chairs                                            ,Furniture,6,Sonntag,7,2014,11,7,2014,5
687,688,Max Engle,Standard Class,170.352,3,0.2,-17.0352,Consumer,West,California,Chairs                                            ,Furniture,3,Donnerstag,3,2016,8,3,2016,5
688,689,Max Engle,First Class,340.704,6,0.2,-34.0704,Corporate,West,California,Chairs                                            ,Furniture,28,Mittwoch,12,2016,31,12,2016,3
689,690,Max Engle,Standard Class,127.764,2,0.1,2.8392,Corporate,East,New York,Chairs                                            ,Furniture,16,Mittwoch,4,2014,21,4,2014,5
690,691,Kean Thornton,Standard Class,212.94,3,0.0,25.5528,Corporate,East,New Jersey,Chairs                                            ,Furniture,27,Sonntag,12,2015,3,1,2016,7
691,692,Tony Sayre,Second Class,892.224,3,0.2,89.2224,Home Office,West,California,Chairs                                            ,Furniture,27,Samstag,2,2016,29,2,2016,2
692,693,Eugene Moren,Same Day,520.464,2,0.3,-14.8704,Consumer,Central,Illinois,Chairs                                            ,Furniture,11,Sonntag,12,2016,11,12,2016,0
693,694,Sally Hughsby,Standard Class,1487.04,5,0.2,148.704,Home Office,West,California,Chairs                                            ,Furniture,25,Donnerstag,4,2013,30,4,2013,5
694,695,Ralph Kennedy,Standard Class,892.224,3,0.2,89.2224,Corporate,West,California,Chairs                                            ,Furniture,5,Samstag,4,2014,11,4,2014,6
695,696,Luke Foster,Standard Class,2676.672,9,0.2,267.6672,Home Office,West,California,Chairs                                            ,Furniture,1,Montag,12,2014,6,12,2014,5
696,697,Neil French,First Class,520.464,2,0.3,-14.8704,Consumer,Central,Illinois,Chairs                                            ,Furniture,24,Samstag,9,2016,26,9,2016,2
697,698,Neil French,Standard Class,1487.04,5,0.2,148.704,Consumer,West,Oregon,Chairs                                            ,Furniture,10,Dienstag,9,2013,16,9,2013,6
698,699,Michael Stewart,Standard Class,594.816,2,0.2,59.4816,Consumer,West,California,Chairs                                            ,Furniture,23,Freitag,9,2016,29,9,2016,6
699,700,Michael Stewart,Standard Class,179.886,1,0.3,-2.5698,Corporate,Central,Texas,Chairs                                            ,Furniture,10,Mittwoch,9,2014,14,9,2014,4
700,701,Michael Stewart,First Class,462.564,2,0.1,97.6524,Corporate,East,New York,Chairs                                            ,Furniture,17,Mittwoch,8,2016,19,8,2016,2
701,702,Giulietta Dortch,First Class,1079.316,6,0.3,-15.4188,Consumer,East,Pennsylvania,Chairs                                            ,Furniture,30,Mittwoch,11,2016,3,12,2016,3
702,703,Giulietta Dortch,Standard Class,539.658,3,0.3,-7.7094,Corporate,Central,Illinois,Chairs                                            ,Furniture,28,Sonntag,6,2015,2,7,2015,4
703,704,Bobby Odegard,First Class,899.43,5,0.3,-12.849,Consumer,Central,Texas,Chairs                                            ,Furniture,14,Samstag,5,2016,15,5,2016,1
704,705,Xylona Price,First Class,899.43,5,0.3,-12.849,Home Office,East,Ohio,Chairs                                            ,Furniture,18,Donnerstag,2,2016,21,2,2016,3
705,706,Corinna Mitchell,Standard Class,359.772,2,0.3,-5.1396,Consumer,Central,Illinois,Chairs                                            ,Furniture,26,Sonntag,5,2013,31,5,2013,5
706,707,Corinna Mitchell,Standard Class,915.136,4,0.2,102.9528,Home Office,West,California,Chairs                                            ,Furniture,4,Sonntag,10,2015,8,10,2015,4
